negative log iodide concentration (M),iodine concentration times 10^4 (M)
10.00680425,0
9.393399423,0.140955776
8.974922165,0.483583965
8.639488702,0.949704382
8.493817581,1.48168131
8.419041912,1.956503443
8.339250298,2.510392464
8.277087762,2.951234321
8.226572319,3.346809221
8.18192858,3.708463959
8.148604839,3.945844968
8.120938754,4.160592498
8.120938754,4.386326133
8.071376296,4.669034215
8.065888062,4.92868801
8.054922786,5.12068183
8.022116319,5.188762613
8.005763226,5.335669822
8.000319606,5.595323617
7.935284164,5.720198501
7.870777401,5.811213341
5.533477134,5.537612754
5.510940129,5.16551295
5.499706071,4.7932328
5.499706071,4.39819894
5.522197134,3.901224252
5.533477134,3.381856546
5.552328359,2.918802019
5.578828015,2.534634032
5.58642255,2.116906578
5.616904213,1.76653852
5.639874558,1.438864058
5.655240285,1.190316598
5.670647876,0.986915865
5.701589104,0.862281443
5.721013047,0.715254003
5.767900922,0.624239163
5.803318841,0.499544625
5.858846156,0.408409555
5.926986938,0.260660729
6.008167881,0.225598374
6.09460485,0.167902541
6.165487602,0.155593896
6.23295369,0.086911958
6.318325409,0.063136285
6.417949447,0.016606902
6.528018905,0.003817333
6.577045594,-0.008130619
6.676206337,-0.020739841
6.749260984,-0.010415007
6.827757655,-0.022723652
6.888399964,-0.034791835
6.968514878,-0.024527117
7.049561562,-0.02554908
7.112173874,-0.003757218
7.199786956,-0.004839296
7.26373353,-0.005620798
10.00680425,0
